Service Provider Name,Businness name,Services Offered,GPS Latitude,GPS Longtude,Phone No. 1,Phone No. 2,District,Subcounty
Omia Agribusinesss and Development Group Ltd,Omia Agribusiness,"Agro Inputs, Extension Services",,,786584336,773628770,Arua,"City, Town, Municipal"
Omia Agribusinesss and Development Group Ltd,Omia Agribusiness,"Agro Inputs, Extension Services",,,782783461,773628770,Gulu,City
Omia Agribusinesss and Development Group Ltd,Omia Agribusiness,"Agro Inputs, Extension Services",,,786584336,773628770,Lamwo,Palabek
Omia Agribusinesss and Development Group Ltd,Omia Agribusiness,"Agro Inputs, Extension Services",,,782783461,773628770,Kiryandongo,Kiryandongo Town Council
Omia Agribusinesss and Development Group Ltd,Omia Agribusiness,"Agro Inputs, Extension Services",,,786584336,773628770,Masindi,Kigumba Town Council
Omia Agribusinesss and Development Group Ltd,Omia Agribusiness,"Agro Inputs, Extension Services",,,782783461,773628770,Nebbi,Nebbi Town Council
Omia Agribusinesss and Development Group Ltd,Omia Foods,"Fresh farm products, organic fertilizers",,,786584336,773628770,Arua,"City, Town, Municipal"
Omia Agribusinesss and Development Group Ltd,Omia Foods,"Fresh farm products, organic fertilizers",,,782783461,773628770,Gulu,City
Omia Agribusinesss and Development Group Ltd,Omia Foods,"Fresh farm products, organic fertilizers",,,786584336,773628770,Lamwo,Palabek
Omia Agribusinesss and Development Group Ltd,Omia Foods,"Fresh farm products, organic fertilizers",,,782783461,773628770,Kiryandongo,Kiryandongo Town Council
Omia Agribusinesss and Development Group Ltd,Omia Foods,"Fresh farm products, organic fertilizers",,,786584336,773628770,Masindi,Kigumba Town Council
Omia Agribusinesss and Development Group Ltd,Omia Foods,"Fresh farm products, organic fertilizers",,,782783461,773628770,Nebbi,Nebbi Town Council
Omia Agribusinesss and Development Group Ltd,Omia Foundation,Extension Services,,,786584336,773628770,Arua,"City, Town, Municipal"
Kadras Agri Consult Ltd,Kadras Agri Consult,"Agro Inputs, Extension Services, Consultancies, Business Plan Devt, Project Proposal Developmet",,,777073659,,Kitgum ,Municipal
The Hub Pajule,The Hub Pajule,"Agro Inputs, Extension Services",,,770316091,,Kitgum ,Municipal
The Hub Pajule,The Hub Pajule,"Agro Inputs, Extension Services",,,779967385,,Pader,Pader Town Council
The Hub Pajule,The Hub Pajule,"Agro Inputs, Extension Services",,,784364213,,Pader,Pajule Town Council
The Hub Pajule,The Hub Pajule,"Agro Inputs, Extension Services",,,781152470,,Pader,Puranga Town Council
The Hub Pajule,The Hub Pajule,"Agro Inputs, Extension Services",,,781294245,,Agago,Patongo Council
The Hub Pajule,The Hub Pajule,"Agro Inputs, Extension Services",,,770316091,,Masindi,Kigumba Town Council
The Hub Pajule,The Hub Pajule,"Agro Inputs, Extension Services",,,779967385,,Kiryandongo,Kiryandongo Town Council
Bonbra Agro Tech ,Bonbra Agro Tech ,Agro inputs,,,774323787,,Lira,Lira City
Pimar Agribusiness Uganda ,Pimar Agribusiness Uganda ,"Agro Inputs, Extension Services",,,705153842,772990999,Pader,Pajule Town Council
Pimar Agribusiness Uganda ,Pimar Agribusiness Uganda ,"Agro Inputs, Extension Services",,,705153842,772990999,Kitgum ,Mucwini Town Council
